TABLE_NAME,APPLICATION
CUT_BLOCK_CLIENT_TYPE_CODE,FTA
CUT_BLOCK_GEOM,FTA
CUT_BLOCK_KEY_EVENT,FTA
CUT_BLOCK_KEY_EVENT_CODE,FTA
CUT_BLOCK_OPEN_ADMIN,FTA
CUT_REGULATION_CODE,FTA
DATA_SOURCE_CODE,FTA
DELETE_OPTION_CODE,FTA
DEPOSIT_TYPE_CODE,FTA
DIST_TENR_DEFLT,FTA
ELECTRONIC_SUBMISSION,FTA
ESF_STATUS_CODE,FTA
ESF_SUBMISSION_MESSAGE,FTA
EUSER,FTA
EXCEPTION_CAUSE_CODE,FTA
FDC_AUDIT_LOG,FTA
FEATURE_ACTION_COMMENT,FTA
FEATURE_CLASSES,FTA
FILE_ASSOCIATION_TYPE_CODE,FTA
FILE_CLIENT_TYPE_CODE,FTA
FILE_SOURCE_CODE,FTA
FILE_STATUS_CODE,FTA
FILE_TYPE_ADDNEW_CODE,FTA
FILE_TYPE_CODE,FTA
FINAL_PLAN_RECEIVED_CODE,FTA
FORESTRY_LICENCE_TO_CUT_CODE,FTA
FOREST_ACCOUNT_XREF,FTA
FOREST_CLIENT,FTA
FOREST_COVER,FTA
FOREST_FILE_CLIENT,FTA
FOREST_INVC_TXN,FTA
FOREST_INVOICE,FTA
FOREST_MAP_LINK,FTA
FOREST_MGMT_UNIT,FTA
FOR_CLIENT_LINK,FTA
FREE_USE_PERMIT,FTA
FREE_USE_PERMIT_FN_USAGE_CODE,FTA
FREE_USE_PERMIT_GEOM,FTA
FREE_USE_PERMIT_TYPE_CODE,FTA
FS453_FILE_TYPE_CODE,FTA
FSR_DECLARATION,FTA
FSR_DECLARATION_GEOM,FTA
FSR_DEDICATION,FTA
FSR_DEDICATION_GEOM,FTA
FSR_GAZETTE_GEOM,FTA
FSR_GAZETTE_UNSURVEYED,FTA
FSR_GRAVEL_PIT,FTA
FSR_GRAVEL_PIT_GEOM,FTA
FTA002_MARK_SEARCH_RESULT,FTA
FTA003_CT_BLK_SH_RESULTS,FTA
FTA680_BILL_INSTR_RESULTS,FTA
FTA990_HARV_HIST_RESULTS,FTA
FTAEE_AUDIT_LOG,FTA
FTA_CALENDAR_YEAR_TEMP,FTA
FTA_CD_STS_CHNG,FTA
FTA_ERROR_REFERENCE,FTA
FTA_FILE_LEVEL_AUTHORITY,FTA
FTA_MAP_FEATURE_CODE,FTA
FTA_MINISTRY_ASSIGNMENT_CODE,FTA
FTA_RANGE_BILL_REQUEST,FTA
FTA_SCREEN_FILE_SECURITY,FTA
FTA_TA_ROAD_SECTION,FTA
FTA_TA_ROAD_SEGMENT,FTA
FTA_TA_ROAD_TENURE_APP,FTA
FTA_XML_ERRORS_TEMP,FTA
FTC_FILE_TYPE_CODE,FTA
GENERAL_INSPECTION_REPORT,FTA
GENERAL_INVOICE,FTA
GENERAL_RISK_SITE,FTA
GENETIC_CLASS_CODE,FTA
GEN_INVOICE_DTL,FTA
GEOMETRY_TYPE_CODE,FTA
GNRL_BILL_RATES,FTA
GNRL_INVC_TXN,FTA
GRAZING_FILE_TYPE_CODE,FTA
HARVESTING_AUTHORITY,FTA
HARVESTING_AUTHORITY_AUDIT,FTA
HARVESTING_AUTHORITY_CLIENT,FTA
HARVESTING_HAULING_XREF,FTA
HARVEST_AMEND,FTA
HARVEST_AUTHORITY_AMEND,FTA
HARVEST_AUTHORITY_AMEND_GEOM,FTA
HARVEST_AUTHORITY_GEOM,FTA
HARVEST_AUTH_CLIENT_TYPE_CODE,FTA
HARVEST_AUTH_EXTEND_REAS_CODE,FTA
HARVEST_AUTH_STATUS_CODE,FTA
HARVEST_COMMIT,FTA
HARVEST_HISTORY,FTA
HARVEST_INSPECTION_REPORT,FTA
HARVEST_RISK_SITE,FTA
HARVEST_SALE,FTA
HARVEST_TYPE_CODE,FTA
HARVEST_UNIT_OF_MEASURE_CODE,FTA
HAULING_AUTHORITY,FTA
HAULING_AUTHORITY_AUDIT,FTA
HAY_FILE_TYPE_CODE,FTA
HDBS_ACTION_CODE,FTA
HDBS_TREE_SPECIES,FTA
IMAGE_MAP_SIZE_CODE,FTA
IMAGE_MIME_TYPE_CODE,FTA
IMAGE_ORIENTATION_CODE,FTA
IMAGE_SCALE_SIZE_CODE,FTA
INSPECTION_REPORT,FTA
INSPECTION_STATUS_CODE,FTA
INTENDED_USE_CODE,FTA
INVC_NOTATION,FTA
INVOICE_DTL_TXN,FTA
LAND_CLEAR_FILE,FTA
LAND_USE_AMEND_GEOM,FTA
LAND_USE_GEOM,FTA
LICENCE_REGULATION_CODE,FTA
LICENCE_TO_CUT,FTA
LICENCE_TO_CUT_CODE,FTA
LICENCE_TO_CUT_TYPE_CODE,FTA
LIC_CUT_NUM_CTL,FTA
LIVESTOCK_CODE,FTA
LIVESTOCK_ROTATION,FTA
MAJOR_TSL_FILE_TYPE_CODE,FTA
MANAGED_LICENCE,FTA
MANAGED_LICENCE_GEOM,FTA
MAP_NOTATION,FTA
MAP_NOTATION_GEOM,FTA
MAP_NOTATION_TYPE_CODE,FTA
MAP_REPORT_CONFLICT,FTA
MAP_TYPE_CODE,FTA
MARKING_INSTRUMENT_CODE,FTA
MARKING_METHOD_CODE,FTA
MARK_DESIGNATE_FILE_TYPE_CODE,FTA
MARK_EXTENSION_REASON_CODE,FTA
MARK_LAND_INDEX,FTA
MARK_STATUS_CODE,FTA
MARK_TRANSFER,FTA
MASTER_LICENCE_TO_CUT_CODE,FTA
MEADOW_ROTATION,FTA
MGMT_UNIT_TYPE_CODE,FTA
MINOR_TSL_FILE_TYPE_CODE,FTA
MLTOC_FILE_CTL,FTA
MLTOC_MARK_CTL,FTA
ML_TYPE_CODE,FTA
MOF_USER_ORG_DEFAULT,FTA
MRK_DSG_NUM_CTL,FTA
MSTR_LIC_TO_CUT,FTA
NON_STATUS_ROAD,FTA
NOTATION_TXN,FTA
NSR_GEOM,FTA
NURSERY_LOCATION,FTA
OCCUPANT_LICENCE_TO_CUT_CODE,FTA
OG_CATEGORY_CODE,FTA
OG_CUT_TYPE_CODE,FTA
OIL_AND_GAS_AUTHORITY,FTA
OIL_AND_GAS_COMMENT,FTA
OPENING,FTA
OPENING_MAP_IMAGE,FTA
OPEN_CATEGORY_CODE,FTA
ORG_RESP_DSTRCT,FTA
ORG_UNIT,FTA
OTH_TIMBER_MARK,FTA
PAYMENT_METHOD_CODE,FTA
PERMIT_BLOCK,FTA
PIPELINE_SEGMENT,FTA
PLANTING_SEASON_CODE,FTA
POINT_OF_TERMINATION,FTA
PRFSNL_PARTY_DCLRTN,FTA
PRIMARY_LAND_INDEX_CODE,FTA
PRIVATE_MARK_AMEND_STATUS_CODE,FTA
PRIVATE_MARK_CERTIFICATE,FTA
PRIVATE_MARK_CLIENT,FTA
PRIVATE_MARK_STATUS_CODE,FTA
PRIVATE_MARK_TYPE_CODE,FTA
PRMT_AUTHZD_BLK,FTA
PROJECT_TYPE_CODE,FTA
PROVFOREST_NOTE,FTA
PROV_FOREST_CONFLICT_CODE,FTA
PROV_FOREST_USE,FTA
PROV_FOREST_USE_AUDIT,FTA
PRT_MRK_NUM_CTL,FTA
PULPWOOD_AGREE,FTA
QUOTA_TYPE_CODE,FTA
RANGE_BILL_INST,FTA
RANGE_BILL_RATE,FTA
RANGE_FILE_ID_CTL,FTA
RANGE_FILE_TYPE_CODE,FTA
RANGE_INCREASE_REASON_CODE,FTA
RANGE_INSPECTION_REPORT,FTA
RANGE_LAND_BASE,FTA
RANGE_LAND_OWNERSHIP_TYPE_CODE,FTA
RANGE_LAND_PURPOSE_CODE,FTA
RANGE_NON_USE_REASON_CODE,FTA
RANGE_PROVISION,FTA
RANGE_RATE_TYPE_CODE,FTA
RANGE_RISK_SITE,FTA
RANGE_SPECIAL_CONDITION,FTA
RANGE_SPECIAL_CONDITION_CODE,FTA
RANGE_TENURE,FTA
RANGE_TENURE_AMEND_GEOM,FTA
RANGE_TENURE_GEOM,FTA
RANGE_TENURE_STATUS_CODE,FTA
RANGE_UNIT,FTA
RANGE_UNIT_FILE_ID_CTL,FTA
RANGE_UNIT_PASTURE,FTA
RANGE_UNIT_STATUS_CODE,FTA
RANGE_ZONE,FTA
RD_PRMT_NUM_CTL,FTA
REAL_PROPERTY_PROJECT,FTA
REAL_PROPERTY_PROJ_GEOM,FTA
RECREATION_ACCESS,FTA
RECREATION_ACCESS_CODE,FTA
RECREATION_ACCESS_XREF,FTA
RECREATION_ACTIVITY,FTA
RECREATION_ACTIVITY_CODE,FTA
RECREATION_AGREEMENT_HOLDER,FTA
RECREATION_ATTACHMENT,FTA
RECREATION_ATTACHMENT_CONTENT,FTA
RECREATION_COMMENT,FTA
RECREATION_CONTROL_ACCESS_CODE,FTA
RECREATION_DEFINED_CAMPSITE,FTA
RECREATION_DEF_CS_RPR_HISTORY,FTA
RECREATION_DISTRICT_CODE,FTA
RECREATION_DISTRICT_XREF,FTA
RECREATION_FEATURE_CODE,FTA
RECREATION_FEE,FTA
RECREATION_FEE_CODE,FTA
RECREATION_FILE_STATUS_CODE,FTA
RECREATION_FILE_TYPE_CODE,FTA
RECREATION_INSPECTION_REPORT,FTA
RECREATION_MAINTAIN_STD_CODE,FTA
RECREATION_MAP_FEATURE,FTA
RECREATION_MAP_FEATURE_CODE,FTA
RECREATION_MAP_FEATURE_GEOM,FTA
RECREATION_OBJECTIVE,FTA
RECREATION_PROJECT,FTA
RECREATION_REMED_REPAIR_CODE,FTA
RECREATION_RISK_RATING_CODE,FTA
RECREATION_RISK_SITE,FTA
RECREATION_SEARCH_RESULT,FTA
RECREATION_SITE_POINT,FTA
RECREATION_STRUCTURE,FTA
RECREATION_STRUCTURE_CODE,FTA
RECREATION_STRUCTURE_VALUE,FTA
RECREATION_STRUCT_DIMEN_CODE,FTA
RECREATION_STRUCT_DIMEN_XREF,FTA
RECREATION_SUB_ACCESS_CODE,FTA
RECREATION_TRAIL_SEGMENT,FTA
RECREATION_USER_DAYS_CODE,FTA
REC_COMMENT_TYPE_CODE,FTA
REC_FILE_ID_CTL,FTA
REC_INSPECTION,FTA
REC_PROJECT,FTA
REFOREST_DECLARE_TYPE_CODE,FTA
RELATED_CLIENT,FTA
RELATED_SUBMITTED_FEATURE,FTA
REPLACEABLE_FILE_TYPE_CODE,FTA
REPORT_GROUP_PARAMETER,FTA
REQUEST_TYPE_CODE,FTA
REVENUE_CLASSN_CODE,FTA
RISK_RATING_CODE,FTA
ROAD_AMENDMENT_TYPE_CODE,FTA
ROAD_INSPECTION_REPORT,FTA
ROAD_PERMIT,FTA
ROAD_PRMT_AMEND,FTA
ROAD_RESPONSIBILITY_TYPE_CODE,FTA
ROAD_RISK_SITE,FTA
ROAD_SECTION_AMEND_GEOM,FTA
ROAD_SECTION_AMEND_SEGMENT,FTA
ROAD_SECTION_AUDIT,FTA
ROAD_SECTION_GEOM,FTA
ROAD_SECTION_KEY_EVENT,FTA
ROAD_SECTION_KEY_EVENT_CODE,FTA
ROAD_SECTION_STATUS_CODE,FTA
ROAD_SEGMENT_STATUS_CODE,FTA
ROAD_SEGMENT_TYPE_CODE,FTA
ROAD_STATE_CODE,FTA
SALE_METHOD_CODE,FTA
SALE_TYPE_CODE,FTA
SALVAGE_TYPE_CODE,FTA
SARL_TYPE_CODE,FTA
SARP_TYPE_CODE,FTA
SAR_TENURE_TYPE_CODE,FTA
SB_CATEGORY_CODE,FTA
SB_TSL_NUM_CTL,FTA
SCALE_GRADE_CODE,FTA
SECONDARY_LAND_INDEX_CODE,FTA
SEEDLING_CONTAINER_CODE,FTA
SEEDLING_STOCK_AGE_CODE,FTA
SEEDLING_STOCK_TYPE_CODE,FTA
SEED_PLAN_ZONE_CODE,FTA
SEISMIC_LINE,FTA
SIL001_TENURE_SEARCH_RESULT,FTA
SIL002_MARK_SEARCH_RESULT,FTA
SIL003_CT_BLK_SH_RESULTS,FTA
SILVICULTURE_INSPECTION_REPORT,FTA
SILVICULTURE_RISK_SITE,FTA
SILV_ADMIN_ZONE,FTA
SILV_BASE_CODE,FTA
SILV_SYSTEM_CODE,FTA
SINGLE_MARK_FILE_TYPE_CODE,FTA
SINGLE_TSL_FILE_TYPE_CODE,FTA
SITE_DETAIL,FTA
SPAR_CUTBLOCK_LINK,FTA
SPAR_FUND_SRCE_CODE,FTA
SPECIAL_USE_CODE,FTA
SPEC_USE_PERMIT,FTA
SPR_REQUEST_STATUS_CODE,FTA
SPR_TENURE_CODE,FTA
SQUARED_OFF_CP,FTA
STOCKING_STANDARD_UNIT,FTA
SUP_NUM_CTL,FTA
TENURE_APPLICATION,FTA
TENURE_APPLICATION_IMAGE,FTA
TENURE_APPLICATION_MAP_FEATURE,FTA
TENURE_APPLICATION_MF_GML,FTA
TENURE_APPLICATION_MF_IMAGE,FTA
TENURE_APPLICATION_PURP_CODE,FTA
TENURE_APPLICATION_STATE_CODE,FTA
TENURE_APPLICATION_TYPE_CODE,FTA
TENURE_DEPOSIT,FTA
TENURE_EXTEND_REASON_CODE,FTA
TENURE_FILE_STATUS_CODE,FTA
TENURE_STATUS_CODE,FTA
TENURE_TERM,FTA
TFL_NUMBER_CODE,FTA
TIMBER_FILE_TYPE_CODE,FTA
TIMBER_LIC_AMEND_GEOM,FTA
TIMBER_LIC_AREA,FTA
TIMBER_LIC_ELIM_AMEND_GEOM,FTA
TIMBER_LIC_ELIM_GEOM,FTA
TIMBER_LIC_GEOM,FTA
TIMBER_MARK,FTA
TIMBER_STATUS_CODE,FTA
TIMBER_TENURE,FTA
TIMBER_TENURE_AUDIT,FTA
TIMBER_TENURE_FILE_TYPE_CODE,FTA
TL_BLOCK_AREA,FTA
TL_BLOCK_AREA_AMEND,FTA
TMARK_HDBS_TXN,FTA
TMBR_MARK_AMEND,FTA
TREE_SPECIES_CODE,FTA
TRESPAS_NUM_CTL,FTA
TSA_NUMBER_CODE,FTA
VEGETATION_CODE,FTA
WASTE_ASSESSMENT_AREA,FTA
WASTE_ASSESS_AREA_STS_CODE,FTA
WOODLOT_NUM_CTL,FTA
XMASTREE_COMMIT,FTA
XML_CHART_FILE_TYPE_CODE,FTA
XML_CP_FILE_TYPE_CODE,FTA
XML_PERMIT_FILE_TYPE_CODE,FTA
XML_ROAD_FILE_TYPE_CODE,FTA
XML_SCHEMA,FTA
XMSTREE_NUM_CTL,FTA
HARV_INSPECTION,FTA
CLIENT_ACRONYM,FTA
COMM_SITE_GEOM_ACTIVE_VW,FTA
CUT_BLOCK_AMEND_GEOM_ACTIVE_VW,FTA
DISTRICT,FTA
FREE_USE_PERMIT_GEOM_ACTIVE_VW,FTA
FSR_DECLARATION_GEOM_ACTIVE_VW,FTA
FSR_DEDICATION_GEOM_ACTIVE_VW,FTA
FSR_GAZ_UNSURV_GEOM_ACTIVE_VW,FTA
FSR_GRAVEL_PIT_GEOM_ACTIVE_VW,FTA
FTARPT_B00_CUT_BLOCK_VW,FTA
FTARPT_B01_CUT_BLOCK_STATUS_VW,FTA
FTARPT_B02_CUT_BLOCK_AREAS_VW,FTA
FTARPT_B03_CUT_BLOCK_DATES_VW,FTA
FTARPT_B21_CUT_BLOCK_STATUS_VW,FTA
FTARPT_B38_CUTBLOCK_OPENING_VW,FTA
FTARPT_F01_LICENCE_DATES_VW,FTA
FTARPT_F02_LIC_STATUS_RGSTR_VW,FTA
FTARPT_F03_ALLOWABLE_AN_CUT_VW,FTA
FTARPT_F04_MAILING_LIST_LIC_VW,FTA
FTARPT_F05_LICENCE_CL_RGSTR_VW,FTA
FTARPT_F06_ASSOCIATED_FILES_VW,FTA
FTARPT_F08_LICENCE_OPENING2_VW,FTA
FTARPT_F08_LICENCE_OPNING2B_VW,FTA
FTARPT_F09_LICENCE_SALES_VW,FTA
FTARPT_F12_TL_BLOCK_AREA_VW,FTA
FTARPT_F16_ASSOCIATED_FILES_VW,FTA
FTARPT_F22_LIC_STATUS_RGSTR_VW,FTA
FTARPT_F23_ALLOWABLE_AN_CUT_VW,FTA
FTARPT_F26_ASSOCIATED_FILES_VW,FTA
FTARPT_F28_LICENCE_OPNING2B_VW,FTA
FTARPT_F33_ALLOWABLE_AN_CUT_VW,FTA
FTARPT_FOREST_FILE_SHORT_VW,FTA
FTARPT_FOREST_FILE_VW,FTA
FTARPT_P00_HARV_AUTHORITY_VW,FTA
FTARPT_P01_CUT_PRMT_LISTING_VW,FTA
FTARPT_P02_CUT_PERMIT_DATES_VW,FTA
FTARPT_P03_PRIV_MARK_RGISTR_VW,FTA
FTARPT_P04_SMALL_BUS_MARKS_VW,FTA
FTARPT_P05_CASH_SALE_REPORT_VW,FTA
FTARPT_P06_CUT_PERMIT_HIST_VW,FTA
FTARPT_P07_CUT_PERMIT_HIST_VW,FTA
FTARPT_P12_PRIVATE_MARK_VW,FTA
FTARPT_P17_CUT_PERMIT_HIST_VW,FTA
FTARPT_P21_CUT_PRMT_LISTING_VW,FTA
FTARPT_P28_CP_HARV_HIST_SUM_VW,FTA
FTARPT_R01_ROAD_PERMIT_SCTN_VW,FTA
FTARPT_R02_ROAD_PERMIT_AMND_VW,FTA
FTARPT_R03_CURKM_UND_RDPRMT_VW,FTA
FTARPT_R11_ROAD_PERMIT_SCTN_VW,FTA
FTARPT_R12_ROAD_PERMIT_AMND_VW,FTA
FTARPT_R13_CURKM_UND_RDPRMT_VW,FTA
FTARPT_RAN01_GRAZING_TENURE_VW,FTA
FTARPT_RAN02_HAY_CUT_TENURE_VW,FTA
FTARPT_RAN04_RANGE_UNIT_VW,FTA
FTARPT_RAN06_GRAZING_ROTAT_VW,FTA
FTARPT_RAN07_HAYCUTNG_ROTAT_VW,FTA
FTARPT_RAN11_GRAZING_TENURE_VW,FTA
FTARPT_RAN12_HAY_CUT_TENURE_VW,FTA
FTARPT_T01_BLOCK_LISTING_VW,FTA
FTARPT_T02_LICENCE_DATES_VW,FTA
FTARPT_T03_TMARK_LISTING_V2_VW,FTA
FTARPT_T03_TMARK_LISTING_VW,FTA
FTARPT_T04_WOODLOT_LISTING_VW,FTA
FTARPT_TTA_FILE_TYPE_STAT_X_VW,FTA
FTARPT_TTA_FILE_TYPE_ST_VW,FTA
FTARPT_TTA_FILE_TYPE_VW,FTA
HARV_AUTH_AMEND_GEOM_ACTIVE_VW,FTA
LAND_USE_AMEND_GEOM_ACTIVE_VW,FTA
MANAGED_LICENCE_GEOM_ACTIVE_VW,FTA
MAP_NOTATION_GEOM_ACTIVE_VW,FTA
NSR_GEOM_ACTIVE_VW,FTA
RANGE_TEN_AMEND_GEOM_ACTIVE_VW,FTA
REAL_PROP_PROJ_GEOM_ACTIVE_VW,FTA
RECREATION_PROJECT_LIST_VW,FTA
REG_DIST_ORGN,FTA
RMF_GEOM_ACTIVE_VW,FTA
ROAD_SEC_AMEND_GEOM_ACTIVE_VW,FTA
TL_AMEND_GEOM_ACTIVE_VW,FTA
TL_ELIM_AMEND_GEOM_ACTIVE_VW,FTA
V_CLIENT_PUBLIC,FTA
V_FTARPT_I01_INSPECTION,FTA
V_FTARPT_I02_PLAN_NO_INSP_HOUR,FTA
V_FTARPT_I03_INSPECT_BY_INSPTR,FTA
V_FTARPT_I04_CLIENT_INSPECTION,FTA
V_FTARPT_I06_RANGE_INSPECTION,FTA
V_FTARPT_I07_RECREATION_INSPCT,FTA
V_FTARPT_REC01_RECREATION_PROJ,FTA
V_FTARPT_T05_REC_INSPECT,FTA
V_FTA_TIMBER_MARK_VJ,FTA
V_RELATED_CLIENT_PUBLIC,FTA
